tconst,averagerating,numvotes,directors,writers
tt3276944,7.2,544,nm0169848,nm0169848
tt3280234,9.0,6,"nm1227182,nm0180644",nm0180644
tt3280916,5.5,7700,nm2133655,nm2133655
tt3283750,6.8,6,"nm6038494,nm4198623,nm6038495","nm4198623,nm6038495"
tt3283996,7.0,85,nm1729175,nm1729391
tt3285496,7.0,13,nm1700166,nm1700166
tt3288166,6.1,77,nm0025016,nm0025016
tt3289512,7.0,21,nm1287593,"nm1287593,nm4143942"
tt3289804,4.4,122,nm0425364,nm0425364
tt3293714,4.0,6,nm0955821,"nm6042923,nm6047469"
tt3297010,7.5,13,nm0148629,"nm1068809,nm5012775,nm6051320"
tt3301196,5.3,2025,nm3395332,"nm1132006,nm6055360"
tt3302348,3.4,46,nm0003731,"nm2006873,nm2011185"
tt3303652,6.2,180,nm0123661,nm6057203
tt3305176,3.9,303,nm1893445,nm1893445
tt3312900,4.8,63,nm3513164,"nm3513164,nm6065763,nm6065774"
tt3313054,3.3,530,nm1767576,nm1767576
tt3317750,7.0,36,nm6071386,"nm6071386,nm6177037,nm6213156"
tt3319730,6.0,5457,nm1016428,nm1994243
tt3322778,7.0,50,nm0305812,"nm5648156,nm6076359"
tt3327426,5.8,11,nm5069917,"nm5069917,nm0920229"
tt3327856,5.7,19,nm0749599,nm0892235
tt3328366,7.2,6,nm4764518,nm4764518
tt3329226,6.4,130,nm1993449,"nm2016172,nm1993449"
tt3330194,6.9,14,nm2145697,"nm4305352,nm1834253,nm1414162,nm1097515"
tt3330774,2.8,158,nm2428858,nm2428858
tt3332122,5.5,99,nm0389415,"nm0776856,nm0389415,nm0774652"
tt3332308,7.2,413,"nm1507245,nm0001402,nm0427580","nm0001402,nm6087680"
tt3332512,4.6,5,nm1201914,nm1201914
tt3334348,5.4,420,nm0838522,"nm6130453,nm1145539,nm6130397,nm4574220,nm0838522"
tt3353850,7.9,1185,nm2060470,"nm2022987,nm9142341,nm0893128"
tt3358034,8.1,19,nm3265119,nm2524437
tt3359650,4.6,233,nm1376257,nm1376257
tt3363402,7.0,29,"nm6209183,nm6117153",nm6209183
tt3364722,6.4,11,nm5019479,nm5019479
tt3365888,5.8,22,nm3191481,"nm3191481,nm2682961"
tt3367282,6.9,29,nm0830929,"nm0830929,nm2336053,nm1270569,nm6682883"
tt3369624,5.8,130,nm0483053,nm2204273
tt3371236,7.4,5,"nm4140325,nm1839883","nm1839883,nm4140325,nm0769153"
tt3375556,5.6,14,nm6124821,nm6124821
tt3384904,2.5,1837,nm2244594,"nm1569073,nm1043852,nm5001355"
tt3389236,5.3,149,nm0126996,"nm2510601,nm0126996"
tt3390260,4.8,6,nm3038747,"nm4024662,nm3038747,nm7583537,nm3698087"
tt3395196,7.5,14,nm5542273,nm5542273
tt3395746,8.8,5,nm6144336,"nm4455031,nm6144336"
tt3398868,5.0,535,nm0296828,nm0296828
